Taxon;IUCN;Year1 dead;Year1 live;Year2 dead;Year2 live;Year3 dead;Year3 live;Year4 dead;Year4 live;Year5 dead;Year5 live;Total;Annual stranding rate;NF %;FO %;Species validation %;No photography available %
Chelonia mydas;EN;3513;370;4365;546;4840;687;3035;375;2340;216;20287;17,6;89,2;99,7;99.2;8.2
Caretta caretta;VU;158;7;239;4;504;10;451;10;328;14;1725;1,6;7,6;47,1;94.4;11.2
Lepidochelys olivacea;VU;34;1;36;1;150;3;82;1;74;1;383;0,3;1,7;17,1;100,0;23.1
Cheloniidae;-;58;5;15;0;32;0;13;0;7;1;131;0,1;0,6;6,2;-;-
Eretmochelys imbricata;CR;26;0;22;1;18;1;13;0;21;2;104;0,1;0,5;5,6;100,0;10.7
Dermochelys coriacea;VU;10;0;18;0;6;0;26;0;17;1;78;0,1;0,3;3,9;100,0;0,0
Testudines;-;0;0;2;1;5;0;2;0;4;0;14;0,0;0,1;0,7;-;-
Cryptodira;-;4;0;0;0;0;0;3;0;1;0;8;0,0;0,0;0,4;-;-
Chelonia;-;2;0;2;0;0;0;1;0;2;0;7;0,0;0,0;0,4;-;-
Reptilia;-;0;0;0;0;0;0;0;0;1;0;1;0,0;0,0;0,1;-;-
Spheniscus magellanicus;LC;1459;92;1552;151;3932;160;5209;214;2935;587;16291;14,7;57,9;41,8;100,0;28.6
Puffinus puffinus;LC;1232;70;1062;95;236;30;215;58;276;76;3350;2,8;11,9;26,7;98.2;25.1
Larus dominicanus;LC;234;254;263;310;197;240;204;280;177;345;2504;2,2;8,9;67,6;99.3;32.3
Sula leucogaster;LC;304;92;355;146;246;89;301;120;141;106;1900;1,7;6,8;55,3;98.5;17.1
Thalassarche chlororhynchos;EN;161;2;156;2;178;3;133;0;47;1;683;0,6;2,4;20,0;98.6;10.8
Fregata magnificens;LC;125;87;58;31;52;24;63;38;60;50;588;0,5;2,1;24,0;98.6;21.3
Procellaria aequinoctialis;VU;236;9;90;10;49;9;78;4;55;5;545;0,4;1,9;16,0;97.2;3.6
Thalassarche melanophris;LC;190;8;95;0;53;2;45;3;28;1;425;0,3;1,5;13,4;96.9;3,0
Calonectris borealis;LC;32;2;50;5;30;7;37;1;13;3;180;0,2;0,6;6,5;94.4;10,0
Thalassarche;-;46;0;28;0;53;0;28;0;19;0;174;0,1;0,6;7,4;-;-
Sterna hirundinacea;LC;33;12;4;12;9;15;12;21;6;7;131;0,1;0,5;6,1;82.6;20.7
Ardenna gravis;LC;19;2;12;3;13;2;13;5;34;5;108;0,1;0,4;5,4;85,0;16.7
Thalasseus sandvicensis;LC;24;23;11;16;3;8;7;8;10;6;116;0,1;0,4;6,0;100,0;6.9
Puffinus;-;63;2;32;3;3;0;5;0;3;2;113;0,1;0,4;3,8;-;-
Macronectes giganteus;LC;34;6;19;12;5;0;5;8;5;2;96;0,1;0,3;4,4;100,0;8.1
Calonectris;-;8;0;7;0;11;2;38;2;14;2;84;0,1;0,3;2,8;-;-
Sterna;-;51;8;4;1;11;4;8;3;2;0;92;0,1;0,3;4,4;-;-
Sterna hirundo;LC;15;11;3;5;9;9;4;11;2;8;77;0,1;0,3;3,9;76.5;5.6
Procellariiformes;-;21;1;16;1;11;0;9;0;4;0;63;0,1;0,2;3,2;-;-
Procellariidae;-;23;0;15;0;6;1;6;0;7;0;58;0,0;0,2;3,0;-;-
