"Polygon";"Daily effort (km)";"Total beach surveyed (km)";"n_Reptilia";"spRichness_Reptilia";"n_Aves";"spRichness_Aves";"n_Cetacea";"spRichness_Cetacea"
"1";31,55;55751,48;416;"5";2572;"30";162;"9"
"2";20,64;34678,22;599;"4";2275;"25";47;"6"
"3";23,26;37864,92;869;"5";2190;"24";41;"7"
"4";69,01;52263,87;517;"5";2896;"27";56;"8"
"5";58,54;31138,12;372;"4";1658;"24";57;"6"
"6";28,41;44260,85;1212;"5";1088;"22";85;"5"
"7";32,69;54441,98;1971;"5";1376;"23";192;"6"
"8";30,05;49938,97;1309;"5";1080;"21";187;"8"
"9";39,97;59441,7;1083;"5";3020;"27";158;"9"
"10";33,44;36908,76;779;"5";1021;"20";109;"9"
"11";29,82;55474,49;1020;"5";1031;"22";134;"7"
"12";47,77;63796,5;1700;"5";1525;"32";281;"9"
"13";21,29;22892,89;276;"5";449;"12";55;"5"
"14";31,78;36243,12;585;"5";376;"16";85;"7"
"15";43,2;52493,73;397;"4";568;"22";99;"9"
"16";13,07;20572,18;86;"4";51;"6";8;"3"
"17";42,03;83452,05;1639;"5";1327;"32";245;"8"
"18";61,06;108711,49;2354;"5";1271;"25";411;"7"
"19";101,26;157023,88;3212;"5";1937;"27";334;"9"
"20";62,62;95557,28;2342;"4";444;"15";211;"7"
"Total";821,46;1152906,48;22738;"-";28155;"-";2957;"-"
